MAIN_ARTIST,EXPLICIT,ID,NAME,POPULARITY,DANCEABILITY,ENERGY,LOUDNESS,SPEECHINESS,ACOUSTICNESS,INSTRUMENTALNESS,LIVENESS,VALENCE,TEMPO,DURATION_MS,GENRES,LYRICS
Spinall,false,2LwzRGmrGnIvwCSATxpQvm,Tonight,35,0.617,0.648,-5.934,0.212,0.107,0.00171,0.0688,0.606,95.397,186500,"afro dancehall,afropop,azontobeats,nigerian pop","Little girl, it's a great big world But there's only one of me You can't touch cause I cost too much But tonight I'm gonna rock ya (Tonight I'm gonna rock ya) Yeah, tonight I'm gonna rock ya (Tonight I'm gonna rock ya) Tonight!  You're sweet but you're just four feet And you still got your baby teeth You're too young and I'm too well hung But tonight I'm gonna rock ya (Tonight I'm gonna rock ya) Yeah, tonight I'm gonna rock ya (Tonight I'm gonna rock ya) Tonight, whoa yeah!  You're hot, you take all we got Not a dry seat in the house Next day, we'll be on our way But tonight I'm gonna rock ya (Tonight I'm gonna rock ya) Yeah, tonight I'm gonna rock ya (Tonight I'm gonna rock ya) Tonight!  Little girl, it's a great big world But there's only one of... Me!"
Mr Eazi,false,71iknvVFjHMMs0nit8eh2M,Doyin,55,0.683,0.688,-4.751,0.224,0.00659,0.0000055,0.0947,0.41,105.999,153962,"afro dancehall,afropop,ghanaian hip hop,nigerian pop,swedish dancehall","[Intro: Mr Eazi] Zagawhat? Baby give onyama Baby give me janjalagba All the way to kpanjanana  [Chorus: Mr Eazi, Simi & both] Doyin, your love dey high me like e be kpoli (Ye) We suppose to link up but you be jonzing, me But e be your love dey high me like e be kpoli Oh baby don't leave me lonely Tony (Tony oh), you say you love me I say na story (Na story oh) No be by mouth o you gotta show me If I'm the one you gats be only (Oh baby no tell me story oh)  [Verse 1: Mr Eazi & Simi] I got a pocket full of money and all I wanna do is spend it on you This feeling e dey killy me baby tell me what I for do 'Cause your love e be relevant and I dey like your belly dance And your pose e be elegant ye (Zagadat) Baby you be onye oma (Onye oma) O ya ma sé panana (Panana) Original no panda oh, oh ya ma sé dada I remember what you told me, say I be bad girl but nobody holy  [Chorus: Mr Eazi, Simi & both] Doyin, your love dey high me like e be kpoli (Ye) We suppose to link up but you be jonzing, me But e be your love dey high me like e be kpoli Oh baby don't leave me lonely Tony (Tony oh), you say you love me I say na story (Na story oh) No be by mouth o you gotta show me If I'm the one you gats be only (Oh baby no tell me story oh)  [Outro: Mr Eazi] Baby give onyama Baby give me janjalagba All the way to kpanjanana Baby give onyama Baby give me janjalagba All the way to kpanjanana"
Ice Prince,false,1UM3RVanAaakxcx9GkfNTL,KOLO (feat. Oxlade),53,0.629,0.741,-1.521,0.146,0.532,0,0.119,0.816,103.715,168013,"afro dancehall,afropop,azontobeats,nigerian hip hop,nigerian pop","[Intro: Oxlade & Ice Prince] Kolo (I want to use my last card) I want to use my last card oh Kolo Ice Prince Zamani Kolo Oxlade  [Verse 1: Oxlade] My pastors been dey warn me (I been think say you dey run from me) I got you, but I'm down for this (But you don't know I'm the one for you) Those cases I reminisce Many-many things wey you do for me Many things wey you do for me  [Chorus: Oxlade] Kolo I want to use my last card to spoil your life oh Kolo I want to go market, tear my shirt dey shout I love you Kolo E get the things wey you dey do me I no fit explain oh Kolo Baby you make me kolo, eh, eh, kolo, kolo  [Verse 2: Ice Prince] Uhn I've been out here thinking I've been smokin' and overdose drinkin' Tryna make you queen and a wifе My macaroni with cheese on a side Hello, hеllo shawty, nice to meet ya I gats make money, spoil you and your sister Make I send ram to your mama for Easter I no fit whine you mama, you no be lister Girl you make a man go nuts The way you set with your chest and butt Damn you make a man go I'ma let Oxlade do the rest of the talk  [Chorus: Oxlade] Kolo I want to use my last card to spoil your life oh Kolo I want to go market, tear my shirt dey shout I love you Kolo E get the things wey you dey do me I no fit explain oh Kolo Baby you make me kolo, eh, eh, kolo, kolo  [Verse 3: Ice Prince] E get e something you dey do me Me I wanna love you truly Just like a scene from a movie I'll be like a Romeo to your Julie Baby come check this (check this) I'll be on you IG (IG) But never call never text shit I don't do the dm's, tagging and all that (nah) But everytime you drop me a text I'ma call back I'll be right there next to you, in real life Treat you like a queen, my newbie and still nice (Ice) I don't see nobody, you are the one I will wife Come rain, come sun, come fire, come ice  [Chorus: Oxlade] Kolo I want to use my last card to spoil your life oh Kolo I want to go market, tear my shirt dey shout I love you Kolo E get the things wey you dey do me I no fit explain oh Kolo Baby you make me kolo, eh, eh, kolo, kolo  [Outro: Oxlade] Kolo I want to use my last card to spoil your life oh Kolo I want to go market, tear my shirt dey shout I love you Kolo E get the things wey you dey do me I no fit explain oh Kolo Baby you make me kolo, eh, eh, kolo, kolo"
Wande Coal,false,6qk3jI8bKCgURI3h0d8zBZ,Again,51,0.654,0.39,-9.858,0.36,0.688,0,0.106,0.552,125.944,156084,"afro dancehall,afropop,azontobeats,nigerian hip hop,nigerian pop","[Verse 1] Sweet like water weh dey inside coconut Sip after sip you give me stamina Wait for you so the same time we commot Me and you na the same time I never want to leave omo So dance with me omo I pull up on your beach omo It's time to swim omo  [Pre-Chorus] Baby girl make you no dey lie Make you tell your friends say you dey feel this guy No need to waste time cos na me you go follow till the day we die But meanwhile, I can’t wait make your face just smile It’s not a lie, you set my soul on fire  [Chorus] So many girls have passed through, none of the girls fine pass you So many things you’ve been through Promise life wouldn’t be the same again oh Wouldn’t be the same again, would never be the same again Would never be the same again, never be the same again  [Bridge] No mind them dem dey lie to you Dem talk say me I too bad for you No mind them dem dey lie to you Dem talk say me I too bad for you  [Verse 2] Say my heart na glass don’t break it o, break it oh Take it oh, take it oh  [Pre-Chorus] Baby girl make you no dey lie Make you tell your friends say you dey feel this guy No need to waste time cos na me you go follow till the day we die But meanwhile, I can’t wait make your face just smile It’s not a lie, you set my soul on fire  [Chorus] So many girls have passed through, none of the girls fine pass you So many things you’ve been through Promise life wouldn’t be the same again oh Wouldn’t be the same again, would never be the same again Would never be the same again, never be the same again"
Lil Kleine,false,38azWEI3YCdLU4HkiESps7,Ogen,45,0.862,0.677,-8.045,0.0986,0.0457,0,0.0801,0.897,110.026,185444,"dutch hip hop,dutch pop,dutch rap pop","[Songtekst van ""Ogen"" ft. Maleek Berry & Frenna]  [Intro: Maleek Berry] Ey, ey Papito and Kleine  [Chorus: Lil' Kleine] Zijn het je ogen? Is het je stem? Zijn het de dingen die je doet als ik weer bij je ben? Zijn het je ogen? Is het je lach? Zijn het de dingen die ik doe wanneer ik aan je dacht?  [Post-Chorus: Frenna] Ik zet het in die motion Ik zet het in die motion Kan je het geloven? Baby girl, we gaan te diep Je zakt het naar beneden En brengt het weer naar boven Kan je het geloven? Baby girl, we gaan te diep  [Verse 1: Maleek Berry] Baby, you don't know Is all eyes on you, is like you don’t know They goin' all in on you, baby, you don't know Yeah, yeah Like a hot boy I wanna cool down And nobody else, it’s you now True now, yeah-oh You be warrior, warrior baby, oh no If i jam you for corridor baby oh, oh-oh I for give you degree for your body, oh Don't know why you dey love me so Pray you say you give me all of you  [Chorus: Lil' Kleine] Zijn het je ogen? Is het je stem? Zijn het de dingen die je doet als ik weer bij je ben? Zijn het je ogen? Is het je lach? Zijn het de dingen die ik doe wanneer ik aan je dacht?  [Post-Chorus: Frenna] Ik zet het in die motion Ik zet het in die motion Kan je het geloven? Baby girl, we gaan te diep Je zakt het naar beneden En brengt het weer naar boven Kan je het geloven? Baby girl, we gaan te diep  [Verse 2: Lil' Kleine] Uh, is het oké als ik aan je vraag Of ik bij je kan liggen en ik naast je slaap? Ik let niet op hun, want ze haten graag Dus let niet op hun, schat, ze praten graag Iedereen om me heen die gaat lekker, schatje, kijk effe Ik wil bij je zijn en een beetje van je tijd hebben Lieve schat, schiet op als we geen tijd hebben Jij weet zelf dat die mannen niks op mij hebben Je haat die wijven, hebt het liefst dat ze mij ontwijken Vraag je schatje, hou me vast, en kan je bij me blijven? Wanneer je langsloopt dan moet ik effe blijven kijken Je bent m'n type, echt met jou wil ik een kleine krijgen En nee, geen een van je exen kan op Kleine stijlen En nee, geen een van die mannen kan op Kleine lijken Ik word gek van je lippen tot je kont Echt, je haalt de woorden uit m'n mond  [Chorus: Lil' Kleine] Zijn het je ogen? Is het je stem? Zijn het de dingen die je doet als ik weer bij je ben? Zijn het je ogen? Is het je lach? Zijn het de dingen die ik doe wanneer ik aan je dacht?  [Post-Chorus: Frenna] Zet het in die motion Ik zet het in die motion Kan je het geloven? Baby girl, we gaan te diep Je zakt het naar beneden En brengt het weer naar boven Kan je het geloven? Baby girl, we gaan te diep"
Zoro,false,2iKM6R7hySTdy1QKh2WApo,African Girl Bad,50,0.582,0.67,-6.919,0.26,0.0752,0.00000108,0.064,0.536,96.542,200816,,"[Intro: Oxlade] Ooh-woah Ooh-ahh Ooh-ahh  [Verse 1: Oxlade] Shout out to the girls from the West side Another one for the girls from the South side You know my East side girls be reppin'-reppin', steady-steady Give another one for the girls from the Northern side  [Chorus: Oxlade] You know my African girls bad oh (you-you, you bad) Really bad oh (you, you bad) You know my African girls bad oh (you-you, you bad) Really bad oh (you, you bad) You know my African girls bad oh (you-you, you bad) Really stallion (so bad) You know say my African girls bad oh (you-you, you bad) Really bad oh (so bad, so bad)  [Verse 2: Zoro] E get this girl wey I jam for jand As I dey land for jand I swear everybody like her (everybody like her) E be like she be Nigеrian, Liberian, Algerian Some say shе is Madagascan (Madagascan) Her accent be like Nambia's, Tanzania's Sometimes she sounds like Ugandan (Ugandan) Her favorite colors, blue, yellow, green Exactly the same as the flag of Rwanda She sabi cook Ghana jollof, Sierra Leone jollof Get businesses for Mali, Malawi, Cape Verde, Gabon She calls Didier Drogba ""bros"" Is she Ivorian? Slay like it's nothing And her ankara from Senegal Guinea to Equatorial Guinea To Guinea Bissau She dey all the major billboards, hell of a charm Down to Djibouti Congo to Congo DR Her picture's in front of magazine  [Chorus: Oxlade] You know my African girls bad oh Really bad oh You know my African girls bad oh Really bad oh You know my African girls bad oh (you-you, you bad) Really stallion (you, so bad) You know say my African girls bad oh (you are so bad) Really bad oh (so bad, so bad)  [Interlude: Oxlade] Melanin poppin' (Ooh, you bad) You're my caramel toppin' (Ooh-ooh, you bad) Melanin poppin' (Ooh, you bad oh-ohh)  [Verse 3: Zoro] Ahn Mauritius with the brains Kenya babes, my ebonies Egyptians with the face Mozambique drippin' melanin Southy babes with the waist And the waist is special Ethopian girls fit like Mattew Fraser Angolian girls with the piri piri chicken My Namibian very good in the B E D, T B D Lesotho girls hold it down T D B Black bold and beautiful B B B My Burundi girl body big TV Sudan, South Sudan, Somalia (Somalia) Egypt, Botswana, Mauritania (ayy-ayy) Togo, Burkina Faso, Tunisia, Cameroon, Morocco Get fine-fine girls (ayy-yy)  [Outro: Oxlade & Zoro] Shout out to the girls from the West side Another one for the girls from the South side You know my East side girls be reppin'-reppin', steady-steady Give another one for the girls from the Northern side You know my African Benin, Sotome, Zambia (Zambia) Seychelles, Eritrea, Comoros (Comoros) Libya, Zimbabwe, Gambia (Gambia) Chad, C A R Zakebite Omo ele toh bad oh (Focus)"
WSTRN,true,6v5xfPpCMt03M9r3dcH53k,Mama Stay,58,0.477,0.642,-5.72,0.115,0.149,0.00266,0.0676,0.506,67.352,190211,"afroswing,uk hip hop","[Intro: Haile] Na, ayy-ayy, ayy-ayy, ayy Na, na-na, na-na, ayy-ayy, ayy-ayy, ayy In my zone, ayy, yeah, yeah Na, na-na, na-na, ayy-ayy, ayy-ayy, ayy (Yeah, yeah, yeah) Na, na-na, na-na, ayy-ayy, ayy-ayy, ayy  [Chorus: Haile] We runnin' in circles, you need diamonds And all my devotion We can make some moments Show me that you're for me You're the bag so secure yourself Don't switch up, I got big plans In my VIP, no wristband When we rolling I ain't never need a wingman  [Verse 1: Akelle Charles] We could chill if you wanna Or you can find me by the corner store I be chillin' with the ballers Same me just a little bit taller, yeah See mama (See mama) We be flyin' all over the sеa, mama (Sea, mama) You're the girl I was seein' in my drеam, mama (Dream, mama) From your hair right down to your feet dun up You can see that it's Your lovin' and my thuggin' When I'm clutching on my ting They're basic and I'm famous, they can't say shit to my ting  [Chorus: Haile, Akelle Charles] While she's rockin' my diamonds And all my devotion We can make some moments Show me that you're for me You're the bag so secure yourself Don't switch up, I got big plans In my VIP, no wristband When we rolling I ain't never need a wingman (Oh, oh-oh, oh)  [Post-Chorus: Haile] Mama stay, you can stay if you wanna (Hey, hey, hey) Far away, mama stay if you wanna (Hey, hey, hey) Mama stay, you can stay if you wanna (Hey, hey, hey) Far away, mama stay if you wanna (Hey, hey, hey)  [Verse 2: Louis Rei] Yeah, 'cause you're the sweetest taboo (Ah-ha) Big woman with the likkle attitude (Oh, oh) I'm just sippin' on my Gin and Juice (Oh, oh) I don't dance but I'm rockin' with you, ooh (Ooh) So tell me what you wan' do I'm just tryna get you in the mood (Mood) And you know that it's one shot for me, backshots for you, like I'm tryna get inna your mind (Tryna get inna your mind) I'ma spend a likkle time (I'ma spend a likkle time) Rah-ta-ta  [Chorus: Haile, Louis Rei, Haile & Louis Rei] Ah, let me get you them, diamonds And all my devotion We can make some moments (Some moments) Show me that you're for me (Oh-oh) You're the bag so secure yourself (Yourself) Don't switch up, I got big plans In my VIP, no wristband When we rolling I ain't never need a wingman (Oh, oh-oh, oh)  [Post-Chorus: Haile] Mama stay, you can stay if you wanna (Hey, hey, hey) Far away, mama stay if you wanna (Hey, hey, hey) Mama stay, you can stay if you wanna (Hey, hey, hey) Far away, mama stay if you wanna (Hey, hey, hey)"
Dexta Daps,true,1OrOiGKB335VxjXiOklg6n,Call Me If (Remix),61,0.627,0.798,-5.071,0.159,0.454,0,0.247,0.683,101.792,240000,"dancehall,riddim","[Intro] She want a old gangalee gangalee She a seh she want a big long buddy She seh she would like to be free She would like to be free She want a old gangalee gangalee She a seh she want a big bang belly She seh she would like to be free She seh she would like to be free  [Chorus] Call me if Di likkle man nah fuck yuh good Better yuh fuck somebody else Call me if Yuh nuh see di bwoy need help Like him nuh see seh yuh pussy too good fi him Better yuh fuck somebody else Call me if  She want a real gangolee She want a big long buddy Call me if Call me if She want a big bang belly She want a big bamboo yeah Call me if Call me if  [Verse 1] Mi just want yuh get inna yuh element Be Lewinsky and me be the President Since Yuh seh yuh a freak come show mi di evidence Tight pussy gyal eva inna fashion Always trending Mi love a gyal weh suck mi cocky wid passion Outstanding  [Bridge] Fling di draws away, Fuck her away She haffi come back tomorrow Fling di draws away, Fuck her away She a run like a barrow Fling di draws away, Fuck her away Draws fly like a marrow Fling di draws away, Fuck her away She seh she like fi swallow  [Chorus] If Di likkle man nah fuck yuh good Better yuh fuck somebody else Call me if Yuh nuh see di bwoy need help Like him nuh see seh yuh pussy too good fi him Better yuh fuck somebody else Call me if  She a seh she want a real gangolee She a seh she want a big bang belly She seh she would like to be free She seh she would like to be free She a seh she want a real gangolee She a seh she want a big long buddy She seh she would like to be free She seh she would like to be free  [Verse 2] Hey gyal fi come yah suh fi fuck and mi nuh come yah suh fi laugh Deh yah pon a mission mi nuh come fi sweet talk Nuh bagga chatting cah mi nuh come fi sky lark Pussy haffi run, mi cocky fi a shine off If a money haffi run, yuh nuh fi tell me weh it cost She seh her man a rubbish she bun him like a dry grass Yuh nuh see seh she nuh want him fi get a eye glass Wah dat mi just see inna di sky a fly pass?  [Bridge] Fling di draws away, Fuck her away She haffi come back tomorrow Fling di draws away, Fuck her away She a run like a barrow Fling di draws away, Fuck her away Draws fly like a marrow Fling di draws away, Fuck her away She seh she like fi swallow  [Chorus] Call me if Di likkle man nah fuck yuh good Better yuh fuck somebody else Call me if Yuh nuh see di bwoy need help Like him nuh see seh yuh pussy too good fi him Better yuh fuck somebody else Call me if  She want a real gangolee (real gangolee) She want a big long buddy (big long buddy) Call me if (call me if) Call me if (call me if) She want a big bang belly (big bang belly) She want a big bamboo yeah (big bamboo yeah) Call me if (call me if) Call me if (call me if)  She want a old gangalee gangalee She a seh she want a big long buddy She seh she would like to be free She would like to be free She want a old gangalee gangalee She a seh she want a big bang belly She seh she would like to be free She seh she would like to be free"
Fireboy DML,false,2NZG481vNSuLTBbGl1SFKj,ELI,44,0.681,0.631,-5.993,0.139,0.0826,0.0000149,0.403,0.473,170.023,172191,"afropop,azontobeats,nigerian pop","[Verse 1] Oh my gad She be viper She won't back down She a fighter She a very very Different gal She a belly belly Belly dancer Just like that Omo just like that She dey my front She don dey my back She don dey move She don dey whine back I like her  [Chorus] She got me like Jah Eli Jah She dey cause wahala for area Someone come save me Save me from Delilah Save me from Delilah Jah Eli Jah She dey cause wahala for area Someone come save me Save me from Delilah Save me from Delilah  [Verse 2] She's just a lonely girl living in a lonely world She just need some dutty love Some dutty love, ahh ay! She's just a lonely girl living in a lonely world She just need some dutty love Some dutty love, ahh ay! Just like that Omo just like that She dey my front She don dey my back She don dey move She don dey whine back I like her (I like her)  [Chorus] She got me like She dey cause wahala for area Someone come save me Save me from Delilah Save me from Delilah Jah Eli Jah She dey cause wahala for area Someone come save me Save me from Delilah Save me from Delilah  Ri Ridimakulayo"
Cuppy,false,2LZhz2mq8Y6ZsXPDWnaTRj,P.O.Y.,27,0.844,0.772,-2.531,0.279,0.076,0.00000787,0.0795,0.838,130.691,159870,"afropop,azontobeats,nigerian pop","[Intro: Cuppy, Ycee & Cuppy] O por O por, o ti por ju Kamikaze on a Cuppy level Kamikaze on a Cuppy level  [Verse 1: Ycee] Ma, you know me, I come in peace But, baby, I'm just tryin' to get a piece Girl, you freaky, I know you like to tease Lookin' like a snack, but I know that you a feast On God, I got harder Gucci belt on, but I got no manners Give her good love, make her go bananas And you know there's no one badder Man a flow sick, I'm nauseous Oh, you look good, you look gorgeous Mami got drip like ocean Body like magic, hocus pocus, focus Oh, you look nice, I could be your baby Wait, scratch that, you could be my lady Look, baby girl, you got me goin' crazy You the one that got me dreamin' lately You should be my baby  [Chorus: Ycee] Yeah, you look so good and your smile so nice I just can't take my eyes off you Don't mean to be rude but I know that you taste good too Can I get a piece of ya? Can I get a piece of ya? Can I get a piece of ya? Yeah Just a little piece of ya, yeah, yeah  [Post-Chorus: Ycee & Ms Banks] Kamikaze on a Cuppy level (Yeah, yeah, yeah) Kamikaze on a Cuppy level Yeah, uh  [Verse 2: Ms Banks] Oh, you want a piece? Have some manners, baby, please say please I ain't a stripper, boy, but I could be a tease If you ask, you receive On God, I'ma have you on your knees We can do it on a low Like Angelina, nobody ain't gotta know When on the Henny, you know anyting goes Say my name, say it slow And I hope you got a thing for pretty toes, ayy  [Chorus: Ycee] Yeah, you look so good and your smile so nice I just can't take my eyes off you Don't mean to be rude but I know that you taste good too Can I get a piece of ya? Can I get a piece of ya? Can I get a piece of ya? Yeah Just a little piece of ya, yeah, yeah  [Post-Chorus: Ycee & Ms Banks] Kamikaze on a Cuppy level (Yeah, yeah, yeah) Kamikaze on a Cuppy level Yeah, uh  [Outro: Ycee & Ms Banks] Piece of ya Piece of ya Piece of ya Piece of ya, yeah, yeah"
Lyta,true,1nxR6YjLDDBEhJNCxDpYCE,Are You Sure,40,0.77,0.848,-2.074,0.0399,0.0198,0.000445,0.361,0.902,111.962,191201,"afropop,nigerian pop","[LYTA] You know me when wrong am really not myself This your love drive me crazy its bad for my health So am i *** in my bed Cos life is something i won't trade with you my dear  Baby are you sure that you want me? Baby are you sure it’s not the Hennessy o? Cos this feeling gat no remedy o And i no wan share you with nobody o  [Zinoleesky] Baby are you sure that you want me? Baby are you sure it's not the Hennessy o? Cos this feeling gat no remedy o And i no wan share you with nobody o  Have been waiting for your text When will you reply And i couldn't tell my friends Baby don’t you smile Shеy this love na lie? Make i no on timе Your boyfriend no go sabi pass the things say we been  LYTA Baby are you sure that you want me? Baby are you sure it's not the Hennessy o? Cos this feeling gat no remedy o And i no wan share you with nobody o  [Emo Grae] Baby are you sure that you want me? Baby are you sure it's not the Hennessy o? Cos this feeling gat no remedy o And i no wan share you with nobody o  Give me good loving loving with enough and some more on top (More on top) Love is a drug, i keep coming for more and my head is in war If this is love then i will sleep don't wake me up If this is love then am not sure but have been there before  LYTA Baby are you sure that you want me? Baby are you sure it's not the Hennessy o? Cos this feeling gat no remedy o And i no wan share you with nobody o  [Naira Marley] You know i don't trust nobody but myself That's why sometimes i been talking to myself And then i met you and you met me of myself Baby if you leave me i'll kill myself  [Chorus; Naira Marley & Lyta] Baby are you sure that you want me? Baby are you sure it’s not the Hennessy o? Cos this feeling gat no remedy o And i no wan share you with nobody o"
Mr Eazi,false,2XghxCSGfhpGR2B3ahQXVr,Lento,71,0.87,0.721,-5.311,0.11,0.522,0.648,0.108,0.489,92.025,188910,"afro dancehall,afropop,ghanaian hip hop,nigerian pop,swedish dancehall","[Letra de ""Lento""]  [Intro: J Balvin & Mr Eazi] J Balvin, man, je (Tinini, tanana, biko biko) Latino gang (Make you stand and whine, make you sit up, sit up) Nigeria gang (Make you sit up, sit up) Yah (Make you stand and whine, make you sit up, sit up) Globo (Tinini, tanana, biko biko) (Make you stand and whine, make you sit up, sit up) Oh, Sha Ey (Tinini, tanana, biko biko) (Make you stand and whine, make you sit up, sit up) Zagawhat? Zagadat  [Coro: Mr Eazi & J Balvin] Softly, softly (Softly) Baby, make you roll am softly (Make you roll it out) Softly, softly (Softly) Baby, make you roll am softly Lento (Suave), lento (Suave) Baby, vamo' a hacerlo lento Lento (Suave), lento (Suave) Baby, vamo' a hacerlo lento  [Verso 1: Mr Eazi] Oya-Oya now Na na ti na na na Mo ti yo mo ti na na ti na na na Oya now Na na ti na na na Mo ti yo mo ti na na ti na (Uh) Oya now Na na ti na na na Mo ti yo mo ti na na ti na na na Oya now Na na ti na na na Mo ti yo mo ti na na ti na  [Puente: Mr Eazi & J Balvin] Softly Make you roll it out Softly Softly Make you roll it out Yo', yo' Softly Latino gang, gang  [Verso 2: J Balvin] Si las mirada' mataran sería sicaria (Ey) La labia contigo no e' necesaria (No, no) Me gusta tu mentalida' (Ey) Sencilla con vanidad (Wuh) Y se me sube como mi cuеnta bancaria (Sí, sí) Gran ambiente, se camufla como sеrpiente (Sss) Dice que es buena, pero miente Normal, corriente 220 ¿Dónde quiere' que te lo conecte? (Wuh) Suavemente (Yah) bésame (Bésame, bésame) Cuando tú quiera', ma', lo hacemo' a tu manera Y despué' de eso no me vuelve' a ver Desde que yo te vi (Yah, yah, yah, yah) Baby, yo me convencí (Yah, yah, yah, yah) Ahora quiero más de ti Baby, please (Leggo)  [Coro: Mr Eazi & J Balvin] Softly, softly (Softly) Baby, make you roll am softly (Make you roll it out) Softly, softly (Softly) Baby, make you roll am softly Lento (Suave), lento (Suave) Baby, vamo' a hacerlo lento Lento (Suave), lento (Suave) Baby, vamo' a hacerlo lento  [Post-Coro: Mr Eazi] Roll it, oh, oshey Roll it, oh, oh-oh Shake it, oh, oshey Shake it, oh, oh-oh Roll it, oh, oshey Roll it, oh, oh-oh Shake it, oh, oshey Shake it, oh, oh-oh  [Outro: J Balvin] Mr Eazi, ja We make it easy Leggo J Balvin, man Yah Leggo, leggo Shabalistica"
Jay Moore,false,27voAF38jBp5f9M3ABmXK3,Rewind,39,0.607,0.707,-6.571,0.0681,0.25,0,0.102,0.303,95.985,140000,nigerian pop,"[Intro: The Game] Put your lighters up if you want to Pull your motherfuckin' Dodger cap Over your motherfuckin' eyes, 'til you can't see shit I want you to go blind nigga So you can feel how I felt, when I was in that motherfuckin coma  [Chorus: Shorty of Da Lench Mob] Raised in the City of Angels Where safe and danger switch lanes so stranger drive slow (drive slow) Where bangers and gangstas fast women and dank Are just part of a face that we show We got mountains and ocean, we move in slow motion Off that sticky you all love to blow I swear, ain't nothin better there That's why we all take our hats off to you, for one more  [Verse 1: The Game] Come to my hood hood, look at my block block That's that project building, yeah that's where I got shot, shot 'Cause I was more hood than Suge, had more rocks than Jay More scars on my face than the original Scarface, or the homeboy Scarface Al Pacino couldn't be no gangsta, DeNiro in ""Casino"" he no gangsta Wanna be, wanna see, wan' get a shovel Dig Tookie up nigga, cause he know gangstas Niggas think cause they watched ""Menace"" a couple times Seen Cube in ""Boyz N the Hood"" and pressed rewind That you could survive when a real Crip Run up on your car and flex the nine You must be out of yo' mind, a real Blood'll put you out of yo' mind Just stay the fuck up outta my hood Where my niggas take you up outta yo' shine It ain't a movie dawg, hell yeah this a real fuckin uzi dawg I'm 'bout to hop inside my Impala, try to keep up, don't lose me y'all  [Chorus: Shorty of Da Lench Mob] Raised in the City of Angels Where safe and danger switch lanes so stranger drive slow (drive slow) Where bangers and gangstas fast women and dank Are just part of a face that we show We got mountains and ocean, we move in slow motion Off that sticky you all love to blow I swear, ain't nothin better there That's why we all take our hats off to you, for one more  [Verse 2: The Game] I know the real O-Dog, and that nigga know the real Game I call him Lorenz Tate, and he ain't never been in no gang But he been in my house house, and he sat on my couch couch While I put one in the air so yeah that nigga know what I'm 'bout, 'bout I'm 'bout my hood, I'm 'bout my block, I'm 'bout my chips So if the rap money stop and I punch a clock Catch you slippin at a light get out yo shit! You jack niggas, out-of-towners, and rap niggas And ball players cause we ball playa, we chop it up, with them trap niggas We outcasts, we big boys, ludacris with them big toys Where I'm from it's only two things Standin on the corner, me and that liquor store Look what the Bloods did to Weezy, look what the Crips did to Jeezy This gangbangin shit ain't nothin to play with Me and Snoop Dogg just made it look easy  [Chorus: Shorty of Da Lench Mob] Raised in the City of Angels Where safe and danger switch lanes so stranger drive slow (drive slow) Where bangers and gangstas fast women and dank Are just part of a face that we show We got mountains and ocean, we move in slow motion Off that sticky you all love to blow I swear, ain't nothin better there That's why we all take our hats off to you, for one more  [Outro: The Game] Y'all niggas got this L.A. shit real fucked up man Niggas better start respectin what the fuck we about man We take niggas the fuck out, this shit ain't no movie dawg This shit is real - Crips, Bloods, Ese's We hold shit down, this L.A That's why I wrote the shit on my face, put a muh'fuckin' star behind it What the fuck I am, Star-face L.A. Chronicles, L.A.X. Files Case closed"
Terri,false,1tATHbPTwFTt34wSS6Au2D,Come Around,41,0.823,0.763,-5.836,0.144,0.234,0.000579,0.263,0.692,99.971,172800,nigerian pop,"Whatever starts in my head Will stay with me to the end A pleasant life, I don't want And I'm planning my descent All around without you Run around without you Breathing in my cold Don't want in you want to know The wind is like a bitter plan No one seems to understand Everyone except you No one except you Rush to the cold My little one Save me Believe it Thought I was done Question my words Come around Terrified of the thought You can believe it or not Not sure where I'm gonna stand When I find it in the end When I'm standing without you When I'm standing without you Wise to your cold No one's my one I fell asleep And fell to my feet Praying is not my belief I don't want to be a better one Won't believe it in the end I'm not ready for the world you know Where am I at in the end? La la la without you La la la la without you La la la where's the truth La la la la where's the truth"
