MAIN_ARTIST,EXPLICIT,ID,NAME,POPULARITY,DANCEABILITY,ENERGY,LOUDNESS,SPEECHINESS,ACOUSTICNESS,INSTRUMENTALNESS,LIVENESS,VALENCE,TEMPO,DURATION_MS,GENRES,LYRICS
Molly Parden,false,2AhqPhQ4E1r9v2i2TfJHR0,Landslide,60,0.366,0.262,-12.635,0.0322,0.767,0.0000206,0.119,0.181,151.11,245907,"indie folk,new americana","[Verse 1] I took my love, took it down I climbed a mountain, and I turned around And I saw my reflection in the snow-covered hills Till the landslide brought me down  [Verse 2] Oh, mirror in the sky, what is love? Can the child within my heart rise above? Can I sail through the changing ocean tides? Can I handle the seasons of my life?  [Chorus] Well, I've been afraid of changing 'Cause I've built my life around you But time makes you bolder, even children get older And I'm getting older too Yeah I'm getting older too  [Chorus] Well, I've been afraid of changing 'Cause I've built my life around you But time makes you bolder, even children get older And I'm getting older too Yeah I'm getting older too  [Verse 1 (variation)] I take my love, take it down Oh, climb a mountain and turn around And If you see my reflection in the snow-covered hills Well, the landslide will bring you down  [Outro] And If you see my reflection in the snow covered hills Well, the landslide will bring you down Oh, the landslide will bring it down"
Ella Eyre,false,6yM9OJDDkLJyqYiAuC7J9R,Don't You Want Me - For Nest Audio Sessions,53,0.56,0.129,-12.27,0.0329,0.947,0.00000152,0.101,0.262,99.692,179086,"dance pop,pop,pop dance,post-teen pop,tropical house,uk pop","[Verse 1] You were workin' as a waitress in a cocktail bar When I met you I picked you out, I shook you up, and turned you around Into someone new  [Pre-Chorus] Don't, don't you want me? You know I can't believe it when I hear that you won't see me Don't, don't you want me? You know I don't believe you when you say that you don't need me It's much too late to find You think you've changed your mind You'd better change it back or we will both be sorry  [Chorus] Don't you want me, baby? Don't you want me, oh? Don't you want me, baby? Don't you want me, oh? Oh-oh, mm Mm-mm-mm, mm  [Verse 2] I was working as a waitress in a cocktail bar That much is true But even then I knew I'd find a much bettеr place With or without you  [Pre-Chorus] Don't, don't you want me? You know I can't beliеve it when I hear that you won't see me Don't, don't you want me? You know I don't believe you when you say that you don't need me  [Chorus] Don't you want me, baby? Don't you want me, oh? Don't you want me, baby? Don't you want me, oh-oh? Ooh"
The Hound + The Fox,false,4q0v24VXobXe0kTLb46Xa9,Shallow,54,0.581,0.297,-7.681,0.0354,0.251,0,0.123,0.329,95.691,221712,,"I'm lying on the moon My dear, I'll be there soon It's a quiet starry place Time's we're swallowed up In space, we're here a million miles away  There's things I wish I knew There's no thing I'd keep from you It's a dark and shiny place But with you my dear I'm safe and we're a million miles away  We're lying on the moon It's a perfect afternoon Your shadow follows me all day Making sure that I'm okay and We're a million miles away"
Tom Speight,false,4kG6Rt94q7eJaikOFrqsTn,Save Tonight,61,0.662,0.265,-13.387,0.0379,0.635,0.00845,0.0975,0.107,75.035,270698,indie anthem-folk,"[Verse 1: Tom Speight] Go and close the curtains 'Cause all we need is candlelight You and me and a bottle of wine To hold you tonight  [Pre-Chorus: Tom Speight] Well we know, I'm going away And how I wish, I wish it weren't so So take this wine and drink with me Let's delay our misery  [Chorus: Tom Speight & Lydia Clowes] Save tonight And fight the break of dawn Come tomorrow Tomorrow I'll be gone Save tonight And fight the break of dawn Come tomorrow Tomorrow I'll be gone  [Verse 2: Lydia Clowes] There's a log on the fire And it burns like me for you Tomorrow comes with one desire To take me away, it's true  [Pre-Chorus: Lydia Clowes] It ain't easy to say goodbye Darling please don't start to cry 'Cause you know I've got to go And Lord I wish it wasn't so  [Chorus: Tom Speight & Lydia Clowes] Save tonight Fight the break of dawn Come tomorrow Tomorrow I'll be gone Save tonight Fight the break of dawn Come tomorrow Tomorrow I'll be gone  [Bridge: Tom Speight & Lydia Clowes] Tomorrow comes to take me away I wish that I, that I could stay Girl you know I've got to go And hell I wish it wasn't so  [Chorus: Tom Speight & Lydia Clowes] Save tonight Fight the break of dawn Come tomorrow Tomorrow I'll be gone Save tonight And fight the break of dawn Come tomorrow Tomorrow I'll be gone  [Outro: Tom Speight & Lydia Clowes] Tomorrow I'll be gone Tomorrow I'll be gone Tomorrow I'll be gone"
Noah Reid,false,1KFuLRUmWf0irn0CLclT2X,"Simply the Best (From ""Schitt's Creek"")",60,0.441,0.138,-12.136,0.0352,0.93,0.00023,0.105,0.119,85.492,177919,canadian singer-songwriter,"[Intro] I wanna dedicate this next song to, um A very special someone in my life David Rose  [Verse 1] I call you when I need you and my heart's on fire You come to me wild and wired You come to me and give me everything I need Give me a lifetime of promises and a world of dreams Speak the language of love like you know what it means And it can't be wrong, take my heart and make it strong, babe  [Chorus] You're simply the best Better than all the rest Better than anyone, anyone I've ever met And I'm stuck on your heart I hang on every word you say Well, tear us apart Baby, I would rather be dead  [Verse 2] In your heart, I see the the start of every night and every day In your eyes, I get lost, I get washed away Just as long as I'm here in your arms I can be in no better place  [Chorus] You're simply the best Better than all the rest Better than anyone Anyone I've ever met And I'm stuck on your heart I hang on every word you say Well, tear us apart Baby, I would rather be dead, oh  [Bridge] Each time you leave me, I start losing control Like you're walking away with my heart and my soul I can feel you, babe, even when I'm alone Baby, don't let go  [Chorus] 'Cause you're simply the best Better than all the rest Better than anyone Anyone I've ever met And I'm stuck on your heart, babe I hang on every word you say Well, tear us apart Oh, well I would rather be dead  [Outro] Ooh, ooh Oh, you're the best"
The Staves,false,14WxdK01IyDl3bumvqufxH,I'm on Fire,61,0.302,0.191,-15.166,0.0318,0.741,0.000096,0.11,0.0703,75.704,192053,"chamber pop,indie folk,indie pop,new americana,stomp and holler,uk americana","Hey little girl, is your daddy home? Did he go and leave you all alone? I got a bad desire Oh, oh, oh, I'm on fire  Tell me now baby, is he good to you? And does he do to you the things that I do? Alright, I can take you higher Oh, oh, oh, I'm on fire  Sometimes it's like someone took a knife, baby Edgy and dull and cut a six-inch valley Through the middle of my skull  At night I wake up with the sheets soaking wet And a freight train running Through the middle of my head And you, you cool my desire  Oh, oh, oh, I'm on fire Oh, oh, oh, I'm on fire Oh, oh, oh, I'm on fire"
Brandi Carlile,false,154t1fkfSU7zyJojSN6gvR,"Take Me Home, Country Roads",57,0.327,0.168,-13.988,0.0499,0.912,0.0245,0.0973,0.0999,76.779,185422,"acoustic pop,folk,indie folk,lilith,modern folk rock,neo mellow,new americana,pop rock,stomp and holler","[Verse 1] Almost heaven, West Virginia Blue Ridge Mountains, Shenandoah River Life is old there, older than the trees Younger than the mountains, blowing like the breeze  [Chorus] Country roads, take me home To the place where I belong West Virginia, Mountain Mama Take me home, country roads  [Verse 2] All my memories, gathered 'round her Miners' Lady, stranger to blue water Dark and dusty, painted on the sky Misty taste of moonshine, teardrops in my eye  [Chorus] Country roads, take me home To the place where I belong West Virginia, Mountain Mama Take me home, country roads  [Verse 3] I hear her voice, in the morning light she calls me Radio reminds me of my home far away Drivin' down the road I get a feeling Like I should have been home yesterday, yesterday  [Chorus] Country roads, take me home To the place where I belong West Virginia, Mountain Mama Take me home, country roads Take me home, country roads"
Laura Zocca,false,37N5kMRSKMZ51e7z2C9TLy,I Want You Back,57,0.41,0.0938,-13.782,0.0462,0.896,0,0.118,0.294,178.318,166439,channel pop,"[Verse 1] They tell me that I'm wasting time Tell me something I don't know You left fingerprints across my mind I tried covering them, but they still show If I had a choice in whether or not I’d be moved on from you by now If I had a voice, or a shot Of letting you go or putting you down You know I would, but still  [Chorus] I miss you But it’s hard, 'cause my heart doesn’t want to I know that it’s no good and I should never look back I keep thinking about the good times Memories like songs, I keep hitting rewind  [Verse 2] It’s like every scene I think about I keep on repeat from start to end Honestly, I'm scared that now We’vе fucked it up too much now for us to be friends I’m not trying to say it’s all on you I'vе made my share of mistakes I know I'm no saint, but it was you That broke the other half of this heartbreak I hate you now, but still  [Chorus] I miss you But it’s hard, 'cause my heart doesn’t want to I know that it’s no good and I should never look back I keep thinking about the good times Memories like songs, I keep hitting rewind  [Outro] Play that one again, the first day that we met Before the start of our end had even happened yet Play that one again, the night you took her out The day after you said you wanted me, without a doubt Maybe then, I can put an end to glorifying you Everything you put me through I miss you"
sleep.ing,false,32MX9K3PwpcUtdhiSx6sef,Afterglow,51,0.701,0.257,-10.407,0.0319,0.897,0,0.0963,0.405,111.003,198919,,I went swimming in a black and silent sea While I was in between Waking and dreaming In my mind a knot was gathering I am afraid of so many things & I cannot control myself The water moved around me Like a cloud of ink 'Til I came upon a lake The sun has never seen & I cannot control myself The fish went wild Their eyes aglow and seeking heat Like shards of glass Fitting on past me in the lake below Life without a moon and stars Is no life at all I am afraid of so many things I am afraid of so many things But I do not fear the future What lies ahead is between Me and the universe
Christian Lee Hutson,false,58qeN1OusvLhFmygjsdFB8,Just Like Heaven,44,0.353,0.301,-12.755,0.0366,0.849,0.291,0.102,0.321,139.911,206496,"deep new americana,indie folk,indie rock","[Verse 1] ""Show me, show me, show me how you do that trick The one that makes me scream"", she said ""The one that makes me laugh"", she said And threw her arms around my neck ""Show me how you do it, and I promise you I promise that I'll run away with you I'll run away with you""  [Verse 2] Spinning on that dizzy edge Kissed her face and kissed her head Dreamed of all the different ways I had to make her glow ""Why are you so far away?"", she said ""Why won't you ever know that I'm in love with you? That I'm in love with you?""  [Refrain] You, soft and only You, lost and lonely You, strange as angels Dancing in the deepest oceans Twisting in the water You're just like a dream You're just like a dream  [Verse 3] Daylight licked me into shape I must have been asleep for days And moving lips to breathe her name I opened up my eyes And found myself alone, alone Alone above a raging sea That stole the only girl I loved And drowned her deep inside of me  [Refrain] You, soft and only You, lost and lonely You, just like heaven"
